"seed","gapSize","method","sizeLeft","extremeLeft","tend_dif_point_gap","sizeRight","extremeRight","valueRMSE","valueDTW","timeExec_sys","timeExec_elap"
1,22,"seadec",1327,876,"-1",1,0,0.00247311596819954,0.000102034504268077,0,0.00900000000001455
1,22,"seasplit",1327,876,"-1",1,0,0.00231243711082744,8.49206248464023e-05,0,0.00300000000061118
1,23,"ssa",1326,875,"-1",1,0,0.00405371347636384,0.000110488472019879,0,0.0730000000003201
1,23,"stine",1326,875,"-1",1,0,0.00218115119087754,8.7256404454871e-05,0,0.00100000000020373
1,23,"locf",1326,875,"-1",1,0,0.00198600563737902,8.33340484933224e-05,1e-14,0.00100000000021373
1,23,"MAE",1326,875,"-1",1,0,0.00189151025214265,8.71000499748658e-05,0,0
1,23,"seadec",1326,875,"-1",1,0,0.00241853555773807,9.73956536245747e-05,0,0.0100000000002183
1,23,"seasplit",1326,875,"-1",1,0,0.00239276950692349,9.25290609933024e-05,0,0.00400000000081491
1,24,"ssa",1325,874,"-1",1,0,0.00423417509636892,0.000119415101983156,0,0.0830000000005384
1,24,"stine",1325,874,"-1",1,0,0.00207841860417738,0.000101940435752559,0,0
1,24,"locf",1325,874,"-1",1,0,0.00192454416063667,9.3760518710504e-05,1e-14,1e-14
1,24,"MAE",1325,874,"-1",1,0,0.00184601289716196,0.000103836542546707,0,0.000999999998384737
1,24,"seadec",1325,874,"-1",1,0,0.00232862569220032,9.64127469810197e-05,0,0.00900000000001455
1,24,"seasplit",1325,874,"-1",1,0,0.00239572650603213,9.17541706661354e-05,0,0.00399999999899592
1,25,"ssa",1324,873,"1",1,0,0.00432886541461979,0.00011928364570478,0,0.0740000000005239
1,25,"stine",1324,873,"1",1,0,0.0028318236722673,0.000116931008351604,0,0
1,25,"locf",1324,873,"1",1,0,0.00242550504391318,9.82816586154194e-05,1e-14,0.00100000000021373
1,25,"MAE",1324,873,"1",1,0,0.00186511601447102,0.000105239463890994,0,0
1,25,"seadec",1324,873,"1",1,0,0.00271212839207814,0.000118591591896364,0,0.00900000000001455
1,25,"seasplit",1324,873,"1",1,0,0.00241167563873882,9.49979265719647e-05,0,0.00600000000122236
1,26,"ssa",1323,873,"-1",1,0,0.00424346241935863,0.000121897436361598,0,0.0740000000005239
1,26,"stine",1323,873,"-1",1,0,0.00214219669964844,9.73778502770518e-05,0,0.00100000000020373
1,26,"locf",1323,873,"-1",1,0,0.00179469544615981,8.75845498196e-05,0.00300000000001011,0.0239999999994425
1,26,"MAE",1323,873,"-1",1,0,0.00185119173743981,0.000107546008607763,0,0
1,26,"seadec",1323,873,"-1",1,0,0.00239773896912114,0.000103140670597138,0,0.00999999999839929
1,26,"seasplit",1323,873,"-1",1,0,0.00240005708883604,9.91552256351604e-05,0.000999999999997669,0.00400000000081491
1,27,"ssa",1322,872,"-1",1,0,0.00440944766356263,0.000121657067856282,0,0.0930000000007567
1,27,"stine",1322,872,"-1",1,0,0.00280742736303227,0.000115384322688497,0,0.00100000000020373
1,27,"locf",1322,872,"-1",1,0,0.00268575451750349,0.000102791478059333,1e-14,1e-14
1,27,"MAE",1322,872,"-1",1,0,0.00187373114852447,0.000108371607715187,0,0.00100000000020373
1,27,"seadec",1322,872,"-1",1,0,0.00240534378757486,0.000107478266592568,0,0.00900000000001455
