"gapSize","method","rmse","sdRmse","error"
46,"stine",0.00723556067574097,0.00275756536446487,0.000828192113395279
46,"locf",0.00708494718737986,0.00351555325831747,0.00105584205556071
46,"MAE",0.00582390559059041,0.00170872234787308,0.000513188332986397
46,"seadec",0.00660341152278941,0.00230390890459741,0.000691943411154285
46,"seasplit",0.00863400631986445,0.00332978404667755,0.00100004914563573
47,"ssa",0.0083485188309162,0.00131781474413014,0.000395785279315183
47,"stine",0.00758233295302679,0.00323461523744764,0.000971466665502667
47,"locf",0.00718606272661377,0.00296578928325648,0.000890728947366916
47,"MAE",0.00589862655463345,0.00171038024707689,0.000513686257374009
47,"seadec",0.00679478562022645,0.00218446130334802,0.000656069171292731
47,"seasplit",0.00868786772726311,0.00329967972067099,0.000991007776862024
48,"ssa",0.00848721867121005,0.00131534308327266,0.000395042954199147
48,"stine",0.00839488643701557,0.00282227117465307,0.00084762550285516
48,"locf",0.00817359190749667,0.00363196823161731,0.00109080549251509
48,"MAE",0.00595944320712659,0.00169634409387983,0.000509470715820573
48,"seadec",0.00719210418158043,0.00224099002197248,0.000673046697754449
48,"seasplit",0.00870280448278055,0.00325074560151893,0.00097631117090667
49,"ssa",0.00866416204864339,0.00133151480314359,0.000399899880178032
49,"stine",0.00873976036712247,0.0055106046989053,0.00165502490366461
49,"locf",0.00846855369473834,0.00671239741626982,0.00201596476144032
49,"MAE",0.00611873902600087,0.00164002297861078,0.000492555539816211
49,"seadec",0.00733841899799706,0.0035294169384336,0.00106000579749146
49,"seasplit",0.00859978841781483,0.00329257365388331,0.000988873579592704
50,"ssa",0.00886896236703359,0.00134660463582187,0.000404431878069233
50,"stine",0.00793858568251544,0.00370033208832101,0.00111133751967677
50,"locf",0.00766216325523354,0.00460456256701156,0.00138290916065888
50,"MAE",0.00628862661807536,0.00159497737998408,0.000479026790867395
50,"seadec",0.00697543225641084,0.002459045482252,0.000738536283174056
50,"seasplit",0.00855883858826997,0.00311114781296581,0.000934385133897006
51,"ssa",0.00905186661686898,0.00133638507613399,0.000401362591355329
51,"stine",0.00815660225201561,0.00276411885373941,0.000830160352553754
51,"locf",0.00783353870967623,0.00316830206256065,0.000951550528912278
51,"MAE",0.00653607047891558,0.00158890510848515,0.000477203078026126
51,"seadec",0.00718601770628295,0.00204767401185792,0.000614987223613573
51,"seasplit",0.0088360261049028,0.00323688688195314,0.0009721489188005
52,"ssa",0.00925938760389792,0.00129779090302383,0.000389771428293616
52,"stine",0.00785209592350731,0.00257888430441857,0.00077452802018813
52,"locf",0.00730982510550016,0.00308199176533011,0.000925628565867531
52,"MAE",0.0068171172475095,0.00156823126072308,0.000470994007557399
52,"seadec",0.00707007658872217,0.00218241678480661,0.000655455131765869
52,"seasplit",0.00895042396549626,0.00345239357035705,0.00103687302000225
53,"ssa",0.009463381601258,0.00130469951778017,0.000391846323898782
53,"stine",0.00738861868953053,0.00205719433646801,0.000617846505885046
53,"locf",0.00699725966191343,0.00195516131208593,0.000587202464881321
53,"MAE",0.0071264359965176,0.00146975659293108,0.000441418663928009
53,"seadec",0.0069759709600659,0.00208250739202492,0.000625448890672844
53,"seasplit",0.00904808305217759,0.00335265192249386,0.00100691715850143
54,"ssa",0.00966283786439532,0.00130256602461882,0.000391205562220751
54,"stine",0.0105070757396402,0.0058850490895738,0.001767483485881
54,"locf",0.0103035991650537,0.00860270713911878,0.00258369005437884
54,"MAE",0.00754222668430598,0.00145327333164098,0.000436468171301647
54,"seadec",0.00848391822327269,0.00429785857768658,0.00129079536042803
54,"seasplit",0.00914279724094028,0.00334019486023013,0.00100317587249029
55,"ssa",0.00989145244534441,0.00138004351986574,0.000414474729782831
55,"stine",0.00817627571877575,0.00260065232172199,0.000781065707558031
55,"locf",0.00767974984139956,0.00264776525753748,0.000795215349261579
55,"MAE",0.00796341857477186,0.00147450872312509,0.000442845892743407
55,"seadec",0.00747651555594481,0.00241543864025359,0.000725439642529179
55,"seasplit",0.00903964153702598,0.0032823330780221,0.00098579798099614
56,"ssa",0.0101376942846177,0.00142185006444298,0.0004270306789376
56,"stine",0.0101650908043894,0.00440170609609817,0.00132198435665363
56,"locf",0.0102102026163815,0.00638126921962846,0.0019165155282453
