"seed","gapSize","method","sizeLeft","extremeLeft","tend_dif_point_gap","sizeRight","extremeRight","valueRMSE","valueMSE","valueSMAPE","valueMAE","valueDTW","timeExec_sys","timeExec_elap"
26,75,"ssa",1274,862,"-1",1,0,0.0149761910324016,0.000224286297838988,NA,0.00324460131216429,0.00105196465200214,0,0.111000000000331
26,90,"ssa",1259,850,"-1",1,0,0.028093709263746,0.000789256500195886,NA,0.00684899809868879,0.00211866177130265,0,0.111000000000331
26,105,"ssa",1244,839,"-1",1,0,0.0368529066817594,0.00135813673089447,NA,0.00940281193978041,0.00195841935657908,0.00100000000000122,0.117000000000189
26,120,"ssa",1229,829,"-1",1,0,0.0182741661588146,0.000333945148799966,NA,0.00391045616786893,0.0016549042933639,0,0.109999999999673
26,135,"ssa",1214,819,"-1",1,0,0.0247053204407223,0.000610352858078772,NA,0.00572228465013428,0.00155987117526964,0,0.111999999999625
26,150,"ssa",1199,809,"-1",1,0,0.0278926820242504,0.000778001710505942,NA,0.00686171875564867,0.00166134103383596,0.00999999999999979,0.136999999999716
26,165,"ssa",1184,798,"-1",1,0,0.0289863377938549,0.00084020777869946,NA,0.00744173647328152,0.00186420400324711,0,0.104000000000269
26,180,"ssa",1169,787,"-1",1,0,0.0324714174294991,0.00105439294988078,NA,0.00922636261210148,0.00266717156498384,0,0.118000000000393
26,195,"ssa",1154,778,"-1",1,0,0.0337144821935891,0.00113666630958184,NA,0.0098246398651236,0.00282128242435875,0,0.106999999999971
26,210,"ssa",1139,768,"-1",1,0,0.0330193793116938,0.00109027941012951,NA,0.009712089802651,0.0026384283033434,0.00199999999999889,0.109000000000378
26,225,"ssa",1124,757,"-1",1,0,0.0341534094095558,0.00116645537429673,NA,0.0103452197349442,0.00268968842847696,0,0.108000000000175
26,240,"ssa",1109,748,"-1",1,0,0.0346680414761174,0.0012018730997898,NA,0.0107406117104769,0.00270139649372429,0,0.106000000000222
26,255,"ssa",1094,739,"-1",1,0,0.0343216464135445,0.00117797541253637,NA,0.0108129298530205,0.00261835795638216,0.00999999999999979,0.135999999999967
26,270,"ssa",1079,729,"-1",1,0,0.0350570841279561,0.00122899914755459,NA,0.0114830787655663,0.00405897366258298,0,0.103999999999814
26,285,"ssa",1064,720,"-1",1,0,0.0349265052115843,0.00121986076629482,NA,0.0114176597864679,0.00384192731915968,0,0.110000000000127
26,300,"ssa",1049,712,"-1",1,0,0.0342649609046669,0.00117408754579835,NA,0.0116821472055273,0.00387248243583977,0.00100000000000122,0.121999999999844
26,315,"ssa",1034,702,"-1",1,0,0.0363724490236101,0.00132295504797512,NA,0.0122294089579227,0.00380481047300276,0,0.112999999999829
26,330,"ssa",1019,689,"-1",1,0,0.0375341413319381,0.0014088117655259,NA,0.0130022048154009,0.00384589364234842,0.000999999999999446,0.110999999999876
26,345,"ssa",1004,679,"-1",1,0,0.0379808750897924,0.00144254687258641,NA,0.0134084201609565,0.00397296766893102,0,0.110000000000127
26,360,"ssa",989,670,"-1",1,0,0.0457187144731015,0.00209020085307298,NA,0.0179211770569374,0.00507479611588043,0,0.115999999999985
26,375,"ssa",974,663,"-1",1,0,0.0456730888915546,0.00208603104889584,NA,0.0180057241107838,0.00519955393798248,0.000999999999999446,0.110999999999876
26,390,"ssa",959,650,"-1",1,0,0.0462943936534866,0.00214317088374398,NA,0.0185502545424251,0.00601144303607248,0.00700000000000145,0.14200000000028
26,405,"ssa",944,642,"-1",1,0,0.0479604573766366,0.00230020547177618,NA,0.0196819621768052,0.00621356491284977,0,0.112999999999829
26,420,"ssa",929,629,"-1",1,0,0.0461379600669901,0.00212871135914317,NA,0.0190066794754781,0.00821503365579502,0,0.115999999999985
26,435,"ssa",914,618,"-1",1,0,0.0462466424089483,0.00213875193410113,NA,0.0192325790667454,0.008494352612579,0,0.116999999999734
26,450,"ssa",899,608,"-1",1,0,0.047898551997678,0.00229427128347426,NA,0.0208944841539565,0.00824680558969905,0.00199999999999889,0.134999999999764
26,465,"ssa",884,599,"-1",1,0,0.0478295166823814,0.0022876626660702,NA,0.0208986574937038,0.00876551514431479,0.00100000000000122,0.121000000000095
26,480,"ssa",869,586,"-1",1,0,0.0475345585672527,0.00225953425818358,NA,0.0209164079288078,0.00837291188391169,0,0.116999999999734
26,495,"ssa",854,576,"-1",1,0,0.0476473575208748,0.00227027067872206,NA,0.0211562226188258,0.00864641639201253,0.0080000000000009,0.128999999999905
26,510,"ssa",839,566,"-1",1,0,0.0496819155761838,0.00246829273531905,NA,0.022030184283418,0.008336896797332,0.00699999999999967,0.135999999999967
26,525,"ssa",824,558,"-1",1,0,0.0517625676775174,0.00267936341256957,NA,0.0233334290662857,0.00901830250292721,0,0.123000000000047
26,540,"ssa",809,549,"-1",1,0,0.0670992447329527,0.00450230864373268,NA,0.0328235462182084,0.0106045248794391,0,0.117000000000189
26,555,"ssa",794,542,"-1",1,0,0.0664232836903119,0.00441205261620365,NA,0.0326340068858267,0.01067580358107,0.00100000000000122,0.119000000000142
26,570,"ssa",779,533,"-1",1,0,0.0618755400680114,0.00382858245870808,NA,0.0304527832453108,0.0112052153239588,0.00799999999999912,0.135000000000218
26,585,"ssa",764,522,"-1",1,0,0.0670191842736867,0.00449157106071037,NA,0.0335094083053904,0.0112566548554915,0.0080000000000009,0.123000000000047
26,600,"ssa",749,512,"-1",1,0,0.0683799810784416,0.00467582181228803,NA,0.0344070048555878,0.0109523963507203,0.00499999999999901,0.125
26,615,"ssa",734,503,"-1",1,0,0.0649113649101388,0.00421348529449719,NA,0.0332663117618865,0.0109022613627617,0,0.102999999999611
26,630,"ssa",719,491,"-1",1,0,0.0694505430727368,0.00482337793309808,NA,0.0394276229573811,0.0127435511262351,0,0.0860000000002401
26,645,"ssa",704,480,"-1",1,0,0.0731665099409476,0.00535333817693879,NA,0.0416823077517941,0.0125892508803343,0,0.0590000000001965
26,660,"ssa",689,469,"-1",1,0,0.0684935022832964,0.00469135985503193,NA,0.0394137851036948,0.0127018518987502,0,0.0349999999998545
27,15,"ssa",1334,855,"-1",1,0,0.00419401870169824,1.75897928701946e-05,NA,0.000359047927503206,0.000130733826200504,0,0.108000000000175
27,30,"ssa",1319,843,"-1",1,0,0.00662816058258201,4.39325127084939e-05,NA,0.000887814381389415,0.000307381157966901,0.0129999999999999,0.13799999999992
27,45,"ssa",1304,831,"-1",1,0,0.00845923381658753,7.15586367636981e-05,NA,0.00142694182597082,0.000427255345118172,0,0.106000000000222
27,60,"ssa",1289,822,"-1",1,0,0.0112686119994526,0.000126981616394207,0.0486370616502845,0.00223744493011459,0.000596995726380468,0,0.108000000000175
27,75,"ssa",1274,810,"1",1,0,0.0174292312526507,0.000303778102058376,0.0669579144689226,0.00388504124600078,0.000752937360125766,0,0.106000000000222
27,90,"ssa",1259,801,"-1",1,0,0.0305988400581196,0.000936289012902387,0.0901757751919458,0.00747958869902073,0.00121820905527738,0,0.106999999999971
27,105,"ssa",1244,792,"-1",1,0,0.00999515665655424,9.99031565890606e-05,0.0546494925824995,0.002142253577004,0.00105134184261586,0.000999999999999446,0.113000000000284
27,120,"ssa",1229,782,"-1",1,0,0.0154826917480663,0.000239713743765642,0.0738180858425215,0.00400443219413766,0.00132784020094683,0,0.105999999999767
27,135,"ssa",1214,775,"-1",1,0,0.0226923066263746,0.000514940780025405,0.0931378752379336,0.00504527826295286,0.00137684133553967,0,0.10799999999972
27,150,"ssa",1199,765,"-1",1,0,0.0269349298978537,0.000725490448602294,0.0888771851524077,0.00629632585052727,0.00154148091772677,0.000999999999999446,0.106999999999971
27,165,"ssa",1184,754,"-1",1,0,0.028378936359895,0.00080536402891897,0.0928931235822145,0.00708806044531096,0.00176602785351367,0,0.106000000000222
27,180,"ssa",1169,747,"-1",1,0,0.0305696022785517,0.000934500583468832,0.104023178752516,0.0082651831165223,0.0029359409394897,0,0.109999999999673
27,195,"ssa",1154,735,"-1",1,0,0.0310279436054565,0.000962733284383392,0.115352668396916,0.00863530560370958,0.00323125157037673,0,0.110999999999876
27,210,"ssa",1139,724,"-1",1,0,0.0311985144060887,0.000973347301146923,0.127478277618084,0.00890007714655695,0.00330605181665252,0,0.114000000000033
27,225,"ssa",1124,712,"-1",1,0,0.0313152597760282,0.000980645494840127,0.132283653241641,0.0090608108904009,0.00342643603696352,0,0.124000000000251
27,240,"ssa",1109,701,"-1",1,0,0.0319067836083282,0.00101804284022868,0.144706251442503,0.00955484548027246,0.00362808950517471,0,0.11200000000008
27,255,"ssa",1094,694,"-1",1,0,0.0324110655113992,0.00105047716758421,0.157629274348541,0.00999762914060163,0.00439845753993153,0,0.107000000000426
27,270,"ssa",1079,685,"-1",1,0,0.0326381147020481,0.00106524653130405,0.163479541876981,0.0102902868911402,0.00414597067333952,0,0.111000000000331
27,285,"ssa",1064,675,"-1",1,0,0.0323785265574287,0.00104836898203012,0.163382254252768,0.0103357353942515,0.00438962953031666,0,0.110999999999876
27,300,"ssa",1049,665,"-1",1,0,0.0328247629670874,0.00107746506384547,0.170592216284624,0.0106902936633289,0.00457607630187583,0,0.108000000000175
27,315,"ssa",1034,654,"-1",1,0,0.0335967863013368,0.00112874404977769,0.177382186839291,0.011168306105417,0.00456888748469832,0,0.11200000000008
27,330,"ssa",1019,644,"-1",1,0,0.0332608522121041,0.00110628428987543,0.167220195638183,0.0110748138119371,0.00456150400527513,0,0.119000000000142
27,345,"ssa",1004,634,"-1",1,0,0.0355293088670012,0.00126233178856677,0.188807793413701,0.0126398749103658,0.00489225596309246,0,0.10799999999972
27,360,"ssa",989,624,"1",1,0,0.0429577390403651,0.00184536734346011,0.219049948019603,0.0168068286572579,0.00610611360159832,0,0.110000000000127
27,375,"ssa",974,616,"-1",1,0,0.0381520157366764,0.0014555763047716,0.210227189095513,0.0144922929836334,0.0051202434703724,0,0.110999999999876
27,390,"ssa",959,605,"-1",1,0,0.0404613216640655,0.00163711855080298,0.223442684217197,0.0160554091978137,0.00578309596757901,0.00100000000000122,0.117000000000189
27,405,"ssa",944,593,"1",1,0,0.0402660931198885,0.00162135825513954,0.230072114780825,0.0160881480177567,0.00595354161274549,0.00499999999999901,0.130999999999858
27,420,"ssa",929,584,"1",1,0,0.0420766891446716,0.00177044776937732,0.253232098778579,0.0174255882534992,0.00631405871047753,0.00500000000000078,0.134999999999764
27,435,"ssa",914,573,"-1",1,0,0.041815785433914,0.00174855991145513,0.255059944820135,0.017376066041033,0.00636202296825431,0.00799999999999912,0.132999999999811
27,450,"ssa",899,566,"-1",1,0,0.0436763881349042,0.0019076268805108,0.300079655842484,0.0186512250888721,0.00582399383473879,0.00200000000000067,0.132999999999811
27,465,"ssa",884,557,"-1",1,0,0.0430292732299496,0.00185151835469765,0.296535174106253,0.0184841754182122,0.00577173952812672,0.0129999999999999,0.141000000000076
27,480,"ssa",869,545,"-1",1,0,0.0433834268221038,0.00188212172282883,0.30009029367958,0.0187716351928856,0.00586282820532679,0,0.113000000000284
27,495,"ssa",854,536,"-1",1,0,0.0431907760460924,0.00186544313546371,0.29366158052377,0.0189401059910752,0.0058331236693853,0.016,0.154999999999745
27,510,"ssa",839,527,"-1",1,0,0.0449226565734939,0.00201804507362008,0.302865083616282,0.0198200032911634,0.00614722467314461,0,0.118000000000393
27,525,"ssa",824,518,"-1",1,0,0.0445168826397802,0.00198175283996397,0.296742590352484,0.0197665484778097,0.00609306619670648,0.00199999999999889,0.121000000000095
27,540,"ssa",809,509,"-1",1,0,0.0611156264791098,0.00373511979993407,0.422584985476868,0.0296340697562596,0.00756959886753907,0,0.118999999999687
27,555,"ssa",794,499,"-1",1,0,0.0564254735726177,0.00318383406789418,0.387285318348822,0.0271325969611484,0.00795119295146217,0,0.117000000000189
27,570,"ssa",779,492,"-1",1,0,0.0543563931031905,0.00295461747118857,0.393974703377293,0.0264181487258385,0.00767227264860125,0,0.115000000000236
27,585,"ssa",764,484,"-1",1,0,0.0636973487435635,0.00405735223695915,0.474841169308296,0.0317151784236591,0.00989495717379446,0.0140000000000011,0.145999999999731
27,600,"ssa",749,475,"-1",1,0,0.061559735999843,0.00378960109637037,0.459882608954701,0.0307312979536,0.0104094245094774,0.000999999999999446,0.11200000000008
27,615,"ssa",734,465,"-1",1,0,0.0627437296145997,0.00393677560594999,0.469746848393525,0.0314234285775253,0.0105863265151841,0,0.105999999999767
27,630,"ssa",719,460,"-1",1,0,0.0675342294019603,0.00456087214091659,0.438005867424603,0.0383600612578805,0.011729106839288,0,0.0839999999998327
27,645,"ssa",704,452,"-1",1,0,0.0636208349665777,0.00404761064184452,0.43348564057693,0.0363788044548413,0.011621722004459,0,0.0610000000001492
27,660,"ssa",689,442,"-1",1,0,0.0623548303278817,0.00388812486521892,0.435354646074565,0.0355769385256931,0.011702463102576,0,0.0389999999997599
28,15,"ssa",1334,869,"1",1,0,0.00298604844952913,8.91648534293534e-06,NA,0.000264957699508823,0.000129026764468842,0.00999999999999979,0.139000000000124
28,30,"ssa",1319,859,"1",1,0,0.00477975849185037,2.28460912404158e-05,NA,0.000616162737704586,0.000222141728960249,0.000999999999999446,0.108000000000175
28,45,"ssa",1304,852,"-1",1,0,0.00795555866111852,6.32909136104978e-05,NA,0.00119159586308821,0.000419755049957269,0,0.112999999999829
28,60,"ssa",1289,841,"1",1,0,0.010439621502625,0.000108985697118069,NA,0.00196662466121124,0.000481683198904612,0,0.108999999999924
28,75,"ssa",1274,831,"1",1,0,0.0155598914185286,0.0002421102209564,NA,0.00344603431130709,0.000663474046578307,0,0.10799999999972
28,90,"ssa",1259,822,"-1",1,0,0.0265558124061741,0.000705211172551911,NA,0.00659632400387237,0.00194291588555124,0,0.109999999999673
28,105,"ssa",1244,814,"-1",1,0,0.0241299644355569,0.00058225518366124,NA,0.006144943354105,0.00202736731789604,0,0.110999999999876
28,120,"ssa",1229,805,"-1",1,0,0.0113907520285797,0.000129749231776593,NA,0.00281964007100801,0.00132313506473091,0.00999999999999979,0.132999999999811
28,135,"ssa",1214,793,"-1",1,0,0.0216167164499931,0.0004672824300794,NA,0.00491928786409077,0.00116410025991369,0,0.109000000000378
28,150,"ssa",1199,786,"-1",1,0,0.0246602439865161,0.000608127633474501,NA,0.00594709036895551,0.00140170027790759,0,0.10799999999972
28,165,"ssa",1184,776,"-1",1,0,0.026627995220356,0.0007090501294553,NA,0.00689503639816083,0.00158774491755631,0.00100000000000122,0.108999999999924
28,180,"ssa",1169,767,"-1",1,0,0.0298003891762586,0.00088806319505647,NA,0.00840369915915603,0.00245291950667133,0.00199999999999889,0.121000000000095
28,195,"ssa",1154,757,"1",1,0,0.0306829348039663,0.000941442488184447,NA,0.00889953547632437,0.00243363867150591,0,0.114000000000033
28,210,"ssa",1139,745,"1",1,0,0.0314657355164839,0.000990092511593315,NA,0.00927064167219299,0.0023924140241431,0,0.107000000000426
28,225,"ssa",1124,732,"1",1,0,0.0319956838619984,0.00102372378579695,NA,0.00953534044842638,0.00235700171387434,0.000999999999999446,0.108000000000175
28,240,"ssa",1109,721,"1",1,0,0.0316953531064696,0.0010045954085438,NA,0.00966019024767339,0.00244723806420677,0,0.110000000000127
28,255,"ssa",1094,714,"-1",1,0,0.0319842038382343,0.00102298929516572,NA,0.00993395165149917,0.00386870483584991,0.00900000000000034,0.141999999999825
28,270,"ssa",1079,703,"-1",1,0,0.0323386418980326,0.00104578775980919,NA,0.0104179759255113,0.00396357265827388,0,0.106999999999971
28,285,"ssa",1064,691,"-1",1,0,0.0320327559687327,0.00102609745495238,NA,0.0104573755213474,0.00398733014148015,0,0.110999999999876
28,300,"ssa",1049,679,"-1",1,0,0.0339947684423429,0.00115564428144851,NA,0.0114676955488208,0.00418800769756269,0.00100000000000122,0.110000000000127
28,315,"ssa",1034,671,"-1",1,0,0.0327808526142351,0.00107458429811621,NA,0.010883131432323,0.00393097649291142,0.00100000000000122,0.110999999999876
28,330,"ssa",1019,660,"-1",1,0,0.0327619063584909,0.00107334250824253,NA,0.0111829044961143,0.00401581344503109,0.000999999999999446,0.110999999999876
28,345,"ssa",1004,650,"-1",1,0,0.0347442436632966,0.00120716246773453,NA,0.0123578464342334,0.00432497694484627,0,0.106999999999971
28,360,"ssa",989,638,"1",1,0,0.0405915272065121,0.00164767208095701,NA,0.0158736386601998,0.00594007010607912,0,0.11200000000008
28,375,"ssa",974,628,"1",1,0,0.0397455438662093,0.00157970825722077,NA,0.0156640647410604,0.00589583020768153,0,0.106999999999971
28,390,"ssa",959,619,"1",1,0,0.0404559790054844,0.00163668623729219,NA,0.0161044416638838,0.00597629356542879,0,0.112999999999829
28,405,"ssa",944,611,"1",1,0,0.0399798193248301,0.00159838595324606,NA,0.0161740928331975,0.00588745700656107,0.0150000000000006,0.143000000000029
28,420,"ssa",929,601,"1",1,0,0.0401338019565557,0.00161072205948803,NA,0.0164627732058411,0.00578752695913726,0,0.11200000000008
28,435,"ssa",914,593,"1",1,0,0.0424844359082449,0.00180492729444177,NA,0.0182755629399767,0.00794073336530119,0.0129999999999999,0.145999999999731
28,450,"ssa",899,583,"-1",1,0,0.0420667077855508,0.00176960790391492,NA,0.0181036505753726,0.00794453786636925,0,0.106999999999971
28,465,"ssa",884,571,"-1",1,0,0.0425562219330838,0.00181103202521788,NA,0.018314273877104,0.00802983721918407,0,0.108000000000175
28,480,"ssa",869,562,"-1",1,0,0.0430779824262197,0.00185571256991369,NA,0.0188058999743023,0.00806424444112091,0,0.110000000000127
28,495,"ssa",854,554,"-1",1,0,0.0425508068932384,0.00181057116726567,NA,0.0187274112448753,0.0079236406918552,0.000999999999999446,0.110000000000127
28,510,"ssa",839,546,"-1",1,0,0.0442584682969412,0.00195881201599135,NA,0.0196105402359603,0.00791265046530417,0,0.109000000000378
28,525,"ssa",824,534,"-1",1,0,0.0433350644887757,0.00187792781424635,NA,0.0192515764009938,0.0079209390863664,0.00900000000000034,0.140000000000327
28,540,"ssa",809,524,"1",1,0,0.0651783810668678,0.00424822135849783,NA,0.0321031457585875,0.010086278953631,0.000999999999999446,0.113000000000284
28,555,"ssa",794,512,"-1",1,0,0.0614181912153191,0.0037721942121615,NA,0.0303146120123313,0.0103091042197046,0,0.115000000000236
28,570,"ssa",779,502,"-1",1,0,0.0600133953630082,0.00360160762299673,NA,0.0297500767715184,0.0101682790881609,0.000999999999999446,0.110999999999876
28,585,"ssa",764,491,"1",1,0,0.0632691702884296,0.00400298790898631,NA,0.0315099023369571,0.0103945597146414,0.0139999999999993,0.151000000000295
28,600,"ssa",749,481,"1",1,0,0.0621690693569556,0.00386499318470995,NA,0.0311404606672776,0.0104314523094812,0,0.106000000000222
28,615,"ssa",734,471,"1",1,0,0.0623646066499376,0.00388934416260144,NA,0.0314595855434842,0.0103759965615305,0.0190000000000001,0.139000000000124
28,630,"ssa",719,460,"-1",1,0,0.0653065236155472,0.00426494202674802,NA,0.0377698375507182,0.0127859237079213,0,0.0839999999998327
28,645,"ssa",704,448,"-1",1,0,0.0648474205000189,0.00420518794550627,NA,0.0376274206063967,0.0127270289517912,0,0.0609999999996944
28,660,"ssa",689,436,"-1",1,0,0.0639344034307042,0.00408760794204003,NA,0.0372667601546647,0.0127515761340047,0,0.0349999999998545
29,15,"ssa",1334,883,"-1",1,0,0.00423885028174166,1.79678517110214e-05,NA,0.000395749970593029,0.00020680339123061,0,0.108999999999924
29,30,"ssa",1319,871,"-1",1,0,0.0078241678667156,6.12176028065449e-05,NA,0.00105608182516573,0.000345939940809023,0,0.106000000000222
29,45,"ssa",1304,860,"-1",1,0,0.0108395453217429,0.000117495742782119,NA,0.00181761532439179,0.000632469323671083,0,0.108000000000175
