"idSwarm","id","cpuPercentage","algorithm","req","runtime"
"pc1","us-central1-a",0.06,"stine",3,18.06
"pc1","us-central1-a",0.06,"stine",1,18.06
"pc1","us-central1-a",0.06,"stine",2,18.24
"pc1","us-central1-a",0.06,"stine",3,18.11
"pc1","us-central1-a",0.06,"stine",1,18.21
"pc1","us-central1-a",0.06,"stine",2,18.21
"pc1","us-central1-a",0.06,"stine",4,18.29
"pc1","us-central1-a",0.06,"stine",1,17.32
"pc1","us-central1-a",0.06,"stine",4,17.32
"pc1","us-central1-a",0.06,"stine",2,17.87
"pc1","us-central1-a",0.06,"stine",3,18.14
"pc1","us-central1-a",0.06,"stine",3,16.84
"pc1","us-central1-a",0.06,"stine",4,17.04
"pc1","us-central1-a",0.06,"stine",2,17.95
"pc1","us-central1-a",0.06,"stine",1,18.66
"pc1","us-central1-a",0.06,"stine",3,17.62
"pc1","us-central1-a",0.06,"stine",2,17.73
"pc1","us-central1-a",0.06,"stine",1,18.04
"pc1","us-central1-a",0.06,"stine",4,18.04
"pc1","us-central1-a",0.06,"stine",4,17.41
"pc1","us-central1-a",0.06,"stine",2,17.55
"pc1","us-central1-a",0.06,"stine",3,17.91
"pc1","us-central1-a",0.06,"stine",1,17.97
"pc1","us-central1-a",0.06,"stine",4,17.44
"pc1","us-central1-a",0.06,"stine",1,17.95
"pc1","us-central1-a",0.06,"stine",3,17.95
"pc1","us-central1-a",0.06,"stine",2,18.05
"pc1","us-central1-a",0.06,"stine",3,17.56
"pc1","us-central1-a",0.06,"stine",2,17.56
"pc1","us-central1-a",0.06,"stine",4,17.56
"pc1","us-central1-a",0.06,"stine",1,17.68
"pc1","us-central1-a",0.06,"stine",2,17.41
"pc1","us-central1-a",0.06,"stine",4,18.26
"pc1","us-central1-a",0.06,"stine",1,18.26
"pc1","us-central1-a",0.06,"stine",3,18.51
"pc1","us-central1-a",0.06,"stine",2,17.55
"pc1","us-central1-a",0.06,"stine",1,17.67
