0; 16.7; 0; 100; 11.8;
11.1; 16.7; 11.1; 100; 0;
5.9; 14.3; 20; 100; 14.3;
12.5; 0; 25; 100; 20;
0; 16.7; 20; 100; 10;
7.1; 0; 0; 100; 27.3;
0; 28.6; 0; 100; 18.2;
6.2; 0; 0; 100; 12.5;
6.2; 28.6; 25; 100; 40;
6.7; 16.7; 25; 100; 7.7;
0; 0; 40; 100; 36.8;
25; 0; 14.3; 100; 15;
0; 16.7; 20; 100; 22.2;
0; 0; 0; 100; 0;
1.7; 0; 25; 100; 21.4;
5.6; 16.7; 25; 100; 11.8;
10; 16.7; 14.3; 100; 26.7;
7.1; 14.3; 14.3; 100; 12.5;
6.7; 16.7; 40; 100; 7.1;
5.9; 0; 18.2; 100; 11.8;
13.3; 16.7; 16.7; 100; 10;
6.7; 14.3; 50; 100; 11.8;
15; 0; 0; 100; 18.8;
6.2; 12.5; 0; 100; 10.5;
4.3; 11.1; 0; 100; 12.5;
6.7; 16.7; 22.2; 100; 10.5;
5.9; 0; 25; 100; 11.8;
0; 0; 33.3; 100; 22.2;
5.9; 16.7; 16.7; 100; 43.8;
8.3; 16.7; 33.3; 100; 13.3;
8.3; 0; 20; 100; 33.3;
7.1; 0; 25; 100; 14.3;
7.7; 12.5; 25; 100; 11.8;
5.9; 14.3; 0; 100; 17.6;
7.1; 14.3; 0; 100; 11.8;
11.1; 14.3; 33.3; 100; 12.5;
0; 14.3; 40; 100; 18.2;
0; 14.3; 33.3; 100; 6.3;
5.9; 25; 25; 100; 15.4;
7.7; 14.3; 0; 100; 16.7;
12.5; 0; 50; 100; 0;
11.1; 16.7; 25; 100; 7.1;
5.9; 12.5; 0; 100; 0;
6.3; 16.7; 14.3; 100; 11.8;
7.7; 16.7; 33.3; 100; 12.5;
6.2; 33.3; 0; 100; 10.5;
10; 16.7; 25; 100; 13.3;
11.8; 14.3; 0; 100; 11.8;
1.4; 7.7; 25; 100; 11.8;
6.7; 25; 16.7; 100; 9.1;
16.7; 0; 20; 100; 16.7;
5.6; 16.7; 0; 100; 15.4;
18.2; 28.6; 14.3; 100; 31.2;
11.1; 14.3; 20; 100; 10.5;
25; 16.7; 0; 100; 23.1;
5.3; 27.3; 40; 100; 11.1;
0; 0; 0; 100; 11.8;
11.1; 33.3; 25; 100; 10.5;
0; 28.6; 25; 100; 11.8;
7.1; 0; 40; 100; 12.5;
14.3; 28.6; 60; 100; 11.8;
18.8; 22.2; 0; 100; 40;
11.1; 16.7; 0; 100; 16.7;
6.7; 0; 0; 100; 20;
0; 28.6; 40; 100; 6.2;
7.7; 0; 25; 100; 11.8;
12.5; 14.3; 16.7; 100; 16.7;
17.4; 14.3; 0; 100; 14.3;
5.9; 28.6; 25; 100; 12.5;
12.5; 14.3; 25; 100; 14.3;
0; 14.3; 50; 100; 6.7;
7.7; 14.3; 33.3; 100; 15.4;
12.5; 12.5; 33.3; 100; 14.3;
6.2; 0; 25; 100; 11.8;
12.5; 0; 0; 100; 18.7;
6.2; 14.3; 0; 100; 11.8;
0; 14.3; 40; 100; 12.5;
6.2; 22.2; 20; 100; 23.5;
10; 25; 25; 100; 33.3;
12.5; 0; 0; 100; 27.3;
0; 16.7; 40; 100; 13.3;
